id;from;to;distance
265217;469137;359361;2438
109675;364083;150325;2318
463835;132614;401118;2213
224044;141103;274958;223
346026;329560;329325;1604
163719;148080;284452;1317
289904;251582;232526;511
405323;168558;178874;2298
344344;169833;345908;1352
454193;190608;271717;2143
290950;233039;214009;1697
385037;130986;433631;328
132068;182216;159389;1412
219034;197112;284762;1163
383482;439626;462727;245
332048;470104;249456;1695
437757;478791;337962;1756
139412;197112;448430;1171
261885;186176;302719;1971
292499;329560;448837;1530
289916;477213;421353;2235
322619;435258;348316;489
179045;156669;232526;1110
393482;472445;367976;640
462359;448430;448837;1149
424176;432546;432546;1823
112286;470476;233247;248
391427;220047;322271;294
497612;288262;337529;2221
242524;450603;404361;1675
316513;146705;265210;2255
109797;274909;479433;1806
349982;233247;165156;2423
153546;191426;178029;928
340883;444270;400530;989
329373;135701;105314;2472
294922;288262;231402;957
272327;178874;108841;1583
190011;493539;480808;850
437885;259376;390814;1381
104222;360708;311616;943
115178;345908;233039;402
391576;214676;445725;1438
236967;115966;136901;1171
374420;146033;451805;459
414953;163419;275076;1996
246296;349277;257195;801
134280;156352;191426;2298
103689;451805;174561;1734
136504;165156;343383;2117
342926;360677;371823;791
337818;364057;232526;593
317822;396599;165970;1773
204340;359361;387011;856
341340;233952;287604;2339
132318;311616;489060;1668
322635;112286;336571;393
355922;298180;223274;799
467533;168558;457801;1857
411114;153170;271717;2019
110042;360218;429803;611
103960;231402;221807;608
228997;399261;284452;665
192640;345910;462727;469
160950;244171;486570;2323
415766;493539;142520;1174
128028;465902;231402;1531
308261;465902;410392;2460
305953;136419;317122;918
455944;457801;199446;1897
341039;308414;367976;1153
280116;146705;362503;2462
427436;413598;449969;1130
238945;398493;396599;637
499734;357102;343669;1675
277115;385710;340540;1944
290467;212417;269815;1706
473743;224699;463768;798
126610;143273;209477;267
450806;317122;169833;641
409127;463768;489060;2408
297476;243091;239548;800
465799;415427;473809;2058
461295;179378;445725;1594
189870;357348;360218;1038
289040;239548;240236;330
252768;360708;269815;2470
348325;199446;385016;768
375514;377085;121422;1016
209729;445725;223478;1999
146761;298180;251582;1510
225663;352624;231871;1241
419891;121422;297022;1053
119754;299224;136419;588
211144;368113;233544;743
492382;240236;406846;1395
484880;386283;210592;1292
248438;372410;233458;1416
237771;435486;154298;2332
451767;289645;307452;1961
248856;336571;360677;1763
230360;198160;164180;1851
119130;191426;251582;2148
237542;265210;328917;339
189651;281431;199922;1196
262619;464757;204560;1096
364886;462727;486708;1679
235411;369522;223478;2303
480813;447085;231402;1741
474843;409572;274909;343
379915;121422;367976;914
314520;136901;249456;2445
144576;268222;449748;1623
473962;480808;360677;846
124636;137062;233247;604
381630;289645;376182;785
361183;216386;337529;2258
104322;377085;140436;786
310108;386283;223274;2297
445247;246903;330232;1620
481806;130986;387648;248
496452;369522;103480;607
166915;322697;108354;477
198164;322697;311437;1005
229560;410434;294441;1603
311217;385710;216859;1723
374458;178335;221807;2139
454695;169408;406846;913
218388;110225;273333;2257
312573;345908;491318;2416
157996;273333;179793;859
